WritingId	MemberId	Essay	DateSubmitted	Grade	Comment	topicId	correctedWriting	LevelNo	UnitNo	Country	Nationality	Unit Name	Lesson Title	lesson Aim
11	18450235	my name is Natalia. I work in sport school. I'm trener. I like my job becouse I always help people. I teach people every day. I sometimes go to competitions and to sport camp. Sometimes I write emails and talk to phone. My job is very interesting and never boring.	2011-03-18 05:12:35.297	90	Dear Student,<br/>Thank you for your submission. I enjoyed reading about your job. You have written well. Your writing follows a clear and easy progression. <br/>However, I think you need to work on the following points to improve your writing: <br/>Capitalisation: e.g. 'my (C)(>>My )name is Natalia.'. Always capitalise the first word in a sentence. <br/>Articles: e.g. 'I'm (AR)(>>a )trener(SP)(>>trainer).'. Count nouns need a definite/indefinite article when singular. ‘A’ or ‘an’ is used when the noun is non-specific. <br/>Spelling: e.g. 'trener(SP)(>>trainer)', 'becouse(SP)(>>because)'. Always run a spell check before you submit your writing. <br/>Try to read more English books, newspapers or magazines to help familiarise yourself with written English. I am sure, with some effort, you can do much better. I look forward to seeing excellent writings from you. All the best!	5322	my name is Natalia. I work in sport school. I'm trener. I like my job becouse I always help people. I teach people every day. I sometimes go to competitions and to sport camp. Sometimes I write emails and talk to phone. My job is very interesting and never boring.	4	1	ru	ru	What do you do?	Writing about what you do	By the end of this lesson, you will be able to write about your job.
12	18434846	I  ’m  a  clark .  I  have  work  two  years. I  always  busy.  Evryday  I  call  up to  the  customers  asking    which  present  they  want  .And  then  I  do   the  daily  report  and  monthly  report  at  the  end  of  the  month..       At  the  festival  for  example  Mid—Autumn  Day,  Spring  festival  we  also  sale   Some  flowers  and  send  them  to  the  customers.  It  was  so  busy  and  tring  during  that  period.       In  a  word,  the  job  is  as dry as sawdust.  I  tak  on  the  phone  most  of   the  time.  I  hate  my  job.	2011-03-18 05:42:37.380	87	Dear student,<br/><br/>I'm very glad to read about your job! It sounds very interesting and involves a lot of communication and report writing, which must be something you have mastered by now. Well done!<br/><br/>Please note that the word "sale" means an instance of selling and the word "sell" means to offer for sale, which is more suitable to the sentence, "..we also sale (WC)(>>sell) Some (C)(>>some )flowers..".<br/><br/>Kindly note that the word "which" is used to ask or talk about one or more members of a group of people or things, when you are uncertain about it or about them and the word "what" is used to ask for information or for someone's opinion, which is more suitable to the sentence, ".. asking (PS)(>>ask) (I(x))(>>them) which (WC)(>>what) present they want".<br/><br/>Keep up the good work and all the best for you future writings.<br/>Sharon!	5322	I  ’m  a  clark .  I  have  work  two  years. I  always  busy.  Evryday  I  call  up to  the  customers  asking    which  present  they  want  .And  then  I  do   the  daily  report  and  monthly  report  at  the  end  of  the  month..       At  the  festival  for  example  Mid—Autumn  Day,  Spring  festival  we  also  sale   Some  flowers  and  send  them  to  the  customers.  It  was  so  busy  and  tring  during  that  period.       In  a  word,  the  job  is  as dry as sawdust.  I  tak  on  the  phone  most  of   the  time.  I  hate  my  job.	4	1	cn	cn	What do you do?	Writing about what you do	By the end of this lesson, you will be able to write about your job.
13	18432871	I'm 42 years old on Tuesday, July 19th. I'm having a party at my house with my family. It starts at 7 o'clock in the evening. On my birthday, I like to have dinner, eat cake and whatch the movie Avatar. Hope you con come.	2011-03-18 06:37:00.903	98	Hello Student,<br/>Your birthday invitation was excellently written!<br/><br/>I have read through and there is a correction you need to make: <br/>I think you need to work on spelling. It would be a good idea for you to check the spelling of your writing before submitting. This way you would avoid having too many basic errors.<br/>Spelling: “...eat cake and whatch(SP)(>>watch) the movie Avatar.”. <br/><br/>Read a few good books in English and this will give you the practice you need to help you with new words. Keep working hard. You show great potential. Good luck with your English studies. I look forward to your next writing.<br/>	6559	I'm 42 years old on Tuesday, July 19th.<br/>I'm having a party at my house with my family.<br/>It starts at 7 o'clock in the evening.<br/>On my birthday, I like to have dinner, eat cake and <change><selection>whatch</selection><tag><symbol>SP</symbol><correct>watch</correct></tag></change> the movie Avatar.<br/>Hope you <change><selection>con </selection><tag><symbol>SP</symbol><correct>can </correct></tag></change> come.	2	2	it	it	Birthdays	Writing a birthday invitation	By the end of this lesson, you will be able to write a birthday party invitation.
14	18451560	Hi, My name is emily.wu, I`m from chinese,I`m live in GUANGDONG, I`m thirty. There are six people im my family:my daughter, son, husband, my daughter and son`s grandpa, grandma and I. They are live in GUANGDONG,too. my daughter`s five, my son`s three, My daughter and son`s grandpa sixty-five, and them grandma sixty-one. I only speak Mandarin, I can drive cars, I can`t dance and sing, I can`t swim, too. I often work is late. I study English is very hard, But English is not still progress	2011-03-18 07:43:14.617	77	Dear Student,<br/>Thank you for your very interesting submission about your profile.  I have corrected your work up to the word limit, but unfortunately it was too long. Please check the word limit for the task.<br/>Your choice and use of vocabulary was very appropriate for this topic (e.g. name, family).<br/>However, please take care with your capitalisation (e.g.  emily(C)(>>Emily). Remember to always capitalize the name of someone or something.<br/>Also, please take care on the use of tenses (e.g. I`m live(VT)(>>I live) in). Remember the simple present tense form: subject + the base form of verbs (+s/es in the third singular person and singular nouns).<br/>Try to read more English books, newspapers or magazines to help familiarise yourself with written English.<br/>Good luck with your next writing piece.  <br/>	9818	Hi,<br/>My name is <change><selection>emily</selection><tag><symbol>C</symbol><correct>Emily</correct></tag></change> <change><selection>wu</selection><tag><symbol>C</symbol><correct>Wu</correct></tag></change><change><selection>,</selection><tag><symbol>PU</symbol><correct>.</correct></tag></change> I`m from <change><selection>chinese</selection><tag><symbol>WC, C</symbol><correct>China</correct></tag></change><change><selection>,</selection><tag><symbol>PU</symbol><correct>.</correct></tag></change><change><selection>I`m live</selection><tag><symbol>VT</symbol><correct>I live</correct></tag></change> in <change><selection>GUANGDONG</selection><tag><symbol>C</symbol><correct>Guangdong</correct></tag></change><change><selection>,</selection><tag><symbol>PU</symbol><correct>.</correct></tag></change> I`m thirty.<br/>There are six people <change><selection>im </selection><tag><symbol>SP</symbol><correct>in</correct></tag></change>my <change><selection>family:my </selection><tag><symbol>PU</symbol><correct>family: my </correct></tag></change>daughter, <change><selection></selection><tag><symbol>PO</symbol><correct>my</correct></tag></change>son, <change><selection></selection><tag><symbol>PO</symbol><correct>my</correct></tag></change>husband, my daughter and son`s grandpa, grandma and I. They <change><selection>are </selection><tag><symbol>D</symbol><correct></correct></tag></change>live in <change><selection>GUANGDONG</selection><tag><symbol>C</symbol><correct>Guangdong</correct></tag></change>, too. <change><selection></selection><tag><symbol>I(x)</symbol><correct>WORD LIMIT</correct></tag></change>my daughter`s five, my son`s three, My daughter and son`s grandpa sixty-five, and them grandma sixty-one.<br/>I only speak Mandarin, I can drive cars, I can`t dance and sing, I can`t swim, too.<br/>I often work is late. I study English is very hard, But English is not still progress	3	1	cn	cn	Meeting people	Replying to a new penpal	By the end of this lesson,  you will be able to write about your nationality,  family and abilities.
15	18434588	dear cleaner:   hi.Nice to write to you.I need a cleaner in my home.I have somethings to tell you.First,my son sean,He plays basketball every afternoon,and he plays computer games at 6pm.My daught,Granny,she always does laundry on Tuesday afternoon,and she does gardening in the morning.Last, I need to tell you that you must feed the dog at 8am every day and walk the dog in the afternoong.The dog is very smart,I think you will  like it.In the end,u do not forget feeding the dog again at 5pm every day.Thanks.              yours Emily	2011-03-18 07:23:38.430	84	Dear Student, <br/><br/>Your writing shows your interest and hard work. That is a sign of great progress! Yet, there are some issues you could handle better.<br/><br/>Be sure to use capital letters when writing a proper noun or beginning a sentence. For example, the words "English" and "Internet" are proper nouns. <br/><br/>Make sure you use a spell check to avoid spelling errors.<br/><br/>Remember to leave a space AFTER a punctuation and never BEFORE it.<br/><br/>Please take a look at the other corrections. I am sure you will get it better next time!<br/>Keep up your great effort.	4010	dear cleaner:   hi.Nice to write to you.I need a cleaner in my home.I have somethings to tell you.First,my son sean,He plays basketball every afternoon,and he plays computer games at 6pm.My daught,Granny,she always does laundry on Tuesday afternoon,and she does gardening in the morning.Last, I need to tell you that you must feed the dog at 8am every day and walk the dog in the afternoong.The dog is very smart,I think you will  like it.In the end,u do not forget feeding the dog again at 5pm every day.Thanks.              yours Emily	4	2	cn	cn	Daily routines	Describing routines	By the end of this lesson, you will be able to write about habits and routines.
16	18424073	Mark an area of about 8 meters x by 3 meters as "bowling pins". Fill the bottles with a liitle water. Line up the bottles in rows of 4, then 3, 2, 1- just like ten-pin bowling. Give a frisbee to each player and allow to shot on each turn. Give a total of ten turns each. Score one point for knocking each pin down. Score a "strike" if all the bottles knocked down,the the player takes two more shots and add all the points togeter. The player with the most points is the winner.	2011-03-18 08:02:17.930	88	Dear Student, <br/>This sounds like a good game that can be played at summer camps. It seems you worked very hard on this writing, well done.<br/><br/>“Most” can mean 'the majority of'. We do not use “the” before “most” in this context: with the (D)(>>)most points is the winner.<br/><br/>Use either ‘x’ or ‘by’: 8 meters x by (D)(>>)3 meters.<br/><br/>‘Frisbee’ - It is a proper noun and as such should be capitalized: Give a frisbee (C)(>>Frisbee )to each.<br/><br/>You can use both the grammar guide and grammar lab in the Englishtown online school to check and practice grammar issues. <br/><br/>All the best with your future writing.<br/><br/>Regards,<br/>Melinda	14173	Mark an area of about 8 meters x by 3 meters as "bowling pins". Fill the bottles with a liitle water. Line up the bottles in rows of 4, then 3, 2, 1- just like ten-pin bowling. Give a frisbee to each player and allow to shot on each turn. Give a total of ten turns each. Score one point for knocking each pin down. Score a "strike" if all the bottles knocked down,the the player takes two more shots and add all the points togeter. The player with the most points is the winner.	7	1	cn	cn	Rules and instructions	Giving instructions to play a game	By the end of this lesson, you will be able to write rules and instructions to a game.
17	18431010	Dear Teacher:         Hello!I am a new student ,my name is chen li.       ??????????!????????????????????.???.Thanks	2011-03-18 08:04:49.710	94	Dear Student<br/><br/>Welcome to Englishtown. I hope you will have a wonderful time while learning English. Thank you for submitting your writing. Your writing is well structured and easy to read.<br/><br/>There is no spelling mistake, well done!<br/><br/>Remember to leave a space open after a punctuation mark (.,?!:;). <br/>Eg “…new student, my name is..." and not "...new student,my name is...".<br/><br/>"Chen Li" must be written with a capital letter because it is your name.<br/><br/>Don't make "??????????!????????????????????.???".<br/><br/>This is a good piece of writing. I’m looking forward to reading more of your assignments.<br/><br/>Try to read a variety of English literature as it will help you to learn new words.<br/><br/>Kind regards<br/>Marné	3535	Dear Teacher:         Hello!I am a new student ,my name is chen li.       ??????????!????????????????????.???.Thanks	1	1	cn	cn	Greetings and introductions	Introducing yourself by email	By the end of this lesson, you will be able to introduce yourself by email.
18	18443880	Dear Mr. Miller, I will give you an information about Sean's and Granny's routines: Sean plays basketball every afternoon and plays computer games at 6 pm. He always watches movies on Saturdays at 5 p. Granny does gardening in the morning. On the Tuesday afternoon she does laundry. Granny sets the table at 6pm. Your task are: Please feeds the dog at 8 am and at 5 pm every day. Walks the dog in the afternoon.  Thank you Berthold	2011-03-18 08:21:37.930	92	Dear Student,<br/><br/>Thank you for your submission with the letter to the housekeeper. It was interesting to read and was a wonderful effort.<br/><br/>Please do not use an article when you are referring to something generically...give you an (D)(>>)information about ...'information'...is a non-count noun so it is singular and you do not require the article before it.<br/><br/>Use a plural form when you are talking about more than one thing or things in general...Your task (PL)(>>tasks)are:<br/><br/>There are no other corrections that I need to make. You have taken a lot of effort to do this assignment.<br/><br/>Well done! Enjoy your lessons with Englishtown and I look forward to reading your next piece! Good luck!<br/>	4010	Dear Mr. Miller,<br/>I will give you <change><selection>an </selection><tag><symbol>D</symbol><correct></correct></tag></change>information about Sean's and Granny's routines:<br/>Sean plays basketball every afternoon and plays computer games at 6 pm.<br/>He always watches movies on Saturdays at 5 <change><selection>p.</selection><tag><symbol>WC</symbol><correct>pm.</correct></tag></change>Granny does gardening in the morning. On <change><selection>the </selection><tag><symbol>D</symbol><correct></correct></tag></change>Tuesday afternoon she does laundry. Granny sets the table at 6pm.<br/>Your <change><selection>task </selection><tag><symbol>PL</symbol><correct>tasks</correct></tag></change>are:<br/>Please feeds the dog at 8 am and at 5 pm every day. <change><selection>Walks </selection><tag><symbol>AG</symbol><correct>Walk</correct></tag></change>the dog in the afternoon.<br/><br/>Thank you<br/>Berthold	4	2	de	de	Daily routines	Describing routines	By the end of this lesson, you will be able to write about habits and routines.
19	18428666	Ladies and gentlemen, today we are here for a change. I am running for office of Student Council President. I wish that you can vote me for it. With your help, I will make my dream come true of being valuable for our school. A successful leader must be a capitalist. Because a capitalist knows how to make the value maximized of every capital invested. Given the current scolary budget for this year, I promise you that I'll avoid wasting money on organizing luxury activities, change for a more efficient teaching equipment in our classrooms, and try to source more social funds. A capitalist appreciates the help, and in exchange with it, remembers to pay back. So vote me for a change.	2011-03-18 08:28:50.707	89	Dear Student, <br/><br/>Thank you for your submission. Your writing follows a clear and easy progression.<br/><br/>You made a few errors, please review my corrections carefully:<br/><br/>1. Articles -  I am running for(AR)(>>the) office of Student Council President. Article 'the' signifies that the noun modified is definite.<br/><br/>2.  A successful leader must be a capitalist.(PU)(>>,) Because (C)(>>because )a capitalist knows how to make the value - This should be one sentence, hence the full stop was changed with a comma.<br/><br/>3. So vote (I(x))(>>for)me for a change - The preposition was missing.<br/><br/>Hope that my tips and corrections enable you to improve further. Best of luck for your future studies at Englishtown.	17574	Ladies and gentlemen, today we are here for a change. I am running for office of Student Council President. I wish that you can vote me for it. With your help, I will make my dream come true of being valuable for our school. A successful leader must be a capitalist. Because a capitalist knows how to make the value maximized of every capital invested. Given the current scolary budget for this year, I promise you that I'll avoid wasting money on organizing luxury activities, change for a more efficient teaching equipment in our classrooms, and try to source more social funds. A capitalist appreciates the help, and in exchange with it, remembers to pay back. So vote me for a change.	13	1	cn	cn	Politics	Writing a campaign speech	By the end of this lesson, you will be able to write a campaign speech.
20	18435418	On Friday, I am 24 years old.  We can sing song and eat cake in my house. the Party is at 8 o'clock.  I hope you can come.              Windy         April 20	2011-03-18 08:32:47.017	92	Dear student, thank you for submitting your work. You did a great job and it was a pleasure grading your work.<br/><br/>When you are writing about two or more people or things the noun should be placed in plural form by using a 's', 'ies' or an 'e'. For example: <br/>* apple - apples <br/>* shoe - shoes <br/>* man - men<br/>* company - companies<br/><br/>Proper nouns like names of people, places (cities, countries etc.), days of the week, months, languages and the words you start your sentences with should be spelled with a capital letter. <br/><br/>Keep up the good work and do different grammar exercises daily to help you improve. Good luck with your future English studies.<br/><br/>Kind regards, <br/>Janita	6559	On Friday, I am 24 years old.  We can sing song and eat cake in my house. the Party is at 8 o'clock.  I hope you can come.              Windy         April 20	2	2	cn	cn	Birthdays	Writing a birthday invitation	By the end of this lesson, you will be able to write a birthday party invitation.
21	18449007	Fame - Has to be seen! Directed by Kevin Tanchareon, with Naturi Naughton and many more! Fame is the remake of the dance film "Fame" from 1980. The film is about a group of pupils (singers, dancers, actors, musicians) which are accompanied on their 4 year-long education at the New York School of Performing Arts. They all have their own background and different problems to struggle with. But what they have in common is their passion for their arts. In the end, not all of them reach their goals and finish school. For those of you who are interested in musicals and dance films, it ist definitely worth to be seen!	2011-03-18 08:45:55.537	94	Dear Student,<br/><br/>Thank you for your submission about the last movie you watched and enjoyed. It was interesting to read and was a wonderful effort.<br/><br/>I have made some edits to your words. Please review them. For example, it is accurate to write...it ist (VT)(>>is)definitely worth to be seen!(WC)(>>seeing)<br/><br/>There are no other corrections that I need to make. You have taken a lot of effort to do this assignment.<br/><br/>Well done! Enjoy your lessons with Englishtown and I look forward to reading your next piece! Good luck!<br/>	9872	Fame - Has to be seen! Directed by Kevin Tanchareon, with Naturi Naughton and many more! Fame is the remake of the dance film "Fame" from 1980. The film is about a group of pupils (singers, dancers, actors, musicians) which are accompanied on their 4 year-long education at the New York School of Performing Arts. They all have their own background and different problems to struggle with. But what they have in common is their passion for their arts. In the end, not all of them reach their goals and finish school. For those of you who are interested in musicals and dance films, it ist definitely worth to be seen!	11	1	de	de	Talking about films	Writing a movie review	By the end of this lesson, you will be able to write a movie review.
22	18437905	Hi Mum and Dad,  Today, I can't enjoy the beach because it's going to rain and wet all the afternoon!However, I'm going to go the museum and eat in a great restaurant. You know, I'm so greedy! Tomorrow, I'm going to the beach and I'm going to make a picnic with my friends. Indeed, it's going to very hot!  See you soon,  Take care!	2011-03-18 10:12:40.453	88	Dear Student, <br/>Thank you for your submission. I enjoyed reading about your plans in California. Your writing follows a clear and easy progression. A sincere effort!  <br/>However, have a look at the corrections I made and concentrate on them: <br/>Prepositions: e.g. '..and eat in (PR)(>>at )a great restaurant.'. Please revise the use of prepositions. With practice you will be able to insert the appropriate prepositions. <br/>Word choice: e.g. 'It's going to rain (x>>y)(>>be rainy )and wet all the (D)(>>)afternoon!'. <br/>Try to read more English books, newspapers or magazines to help familiarise yourself with written English. I am sure, with some effort, you can do much better. I look forward to seeing excellent writings from you. All the best! <br/>	4578	Hi Mum and Dad,  Today, I can't enjoy the beach because it's going to rain and wet all the afternoon!However, I'm going to go the museum and eat in a great restaurant. You know, I'm so greedy! Tomorrow, I'm going to the beach and I'm going to make a picnic with my friends. Indeed, it's going to very hot!  See you soon,  Take care!	5	2	fr	fr	Weather and places	Writing a holiday postcard	By the end of this lesson, you will be able to write a postcard describing a holiday destination.
23	18427715	On Saturday, he goes swimming at 11:30am. He eats lunch at 12:30pm. At 4:00pm he reads emails. At 6:00pm,he eats dinner and at 10:00pm he watches TV. On Sunday, he goes to the park at 11:00am. He plays tennis at 11:30am. At 3:00pm, he goes shopping. At 8:00pm,he goes to the cinema. He goes to bed at 10:00pm.	2011-03-18 10:15:42.140	97	Dear Student<br/><br/>Thank you so much for submitting your work to me, it has been such a pleasure marking your work.<br/><br/>Be careful with spacing and punctuation marks.  Be sure that a (one) space is always made after a comma (,) or full stop (.):<br/>"My name is Mike. I am 23 years old."<br/>"My name is Mike, I am 23 years old."<br/>Be sure that the space is not made BEFORE the punctuation mark.<br/><br/>Other than that, you did a great job, well done!<br/><br/>Here are a few tips to help you improve your English:<br/>* Read English magazines and books<br/>* Watch English television or movies<br/><br/>Kind regards<br/>Sonja	11988	On Saturday, he goes swimming at 11:30am. He eats lunch at 12:30pm.<br/>At 4:00pm he reads emails. At 6:00pm,<change><selection></selection><tag><symbol>I(x)</symbol><correct> </correct></tag></change>he eats dinner and at 10:00pm he watches TV.<br/>On Sunday, he goes to the park at 11:00am. He plays tennis at 11:30am.<br/>At 3:00pm, he goes shopping. At 8:00pm,<change><selection></selection><tag><symbol>I(x)</symbol><correct> </correct></tag></change>he goes to the cinema. He goes to bed at 10:00pm.	3	2	cn	cn	What's the time?	Describing a friend's weekend routine	By the end of this lesson,  you will be able to write down someone's weekend schedule.
24	18441215	Hi mom and pops! I'm going to the Mike pop music festival this weekend, and i''ll driving and geting there Saturday morning, I am watcking Mike pop music in the morning and Blanny pop music in the afternoon, and the tickets is expressive, starts at usd30/pc, may be it'll rain, I wll take an umbrella and raincoat, I'm staying 4-star hotel for one night and will back home on Sunday afternoon.	2011-03-18 10:24:23.070	83	Dear student, <br/><br/>Thank you for your submission.<br/>You have put good effort to write this.<br/>I would like to give you some pointers on improving your written English.<br/>Words such as "mom" and "pop" must be capitalized when used in direct addressing.<br/>The pronoun I should always be capitalized.<br/>Helping verbs give a better idea of the tense of the sentence. E.g. i''ll (C)(>>I''ll )(MW)(>> be )driving and geting(SP)(>>getting) there(PR)(>> on) Saturday morning<br/>Please check the other corrections applied.<br/>Do read more English resources to enhance your language skills.<br/>I am looking forward for an even better writing from you next time, which I am sure you are capable of. Good luck!<br/>	4748	Hi mom and pops! I'm going to the Mike pop music festival this weekend, and i''ll driving and geting there Saturday morning, I am watcking Mike pop music in the morning and Blanny pop music in the afternoon, and the tickets is expressive, starts at usd30/pc, may be it'll rain, I wll take an umbrella and raincoat, I'm staying 4-star hotel for one night and will back home on Sunday afternoon.	5	1	cn	cn	Holidays and festivals	Planning to attend a music festival	By the end of this lesson, you will be able to write about a festival you're going to.
25	18428373	Hi! My name is Kiko.I'm from Anhui. I live in Shanghai.I'm thirty. I can speak Chinese and a little English. So i can tell you my family have four peoples. There're my husband and two dauehters. I can dance and sing.I can  drvie and cook but i can't swim.  Bye! Brigit.	2011-03-18 10:48:58.770	84	Dear Student, <br/><br/>Your writing shows your interest and hard work. That is a sign of great progress! Yet, there are some issues you could handle better.<br/><br/>Make sure you use a spell check to avoid spelling errors.<br/><br/>In English, the subjects and verbs must agree in number e.g. a plural noun always takes a plural verb. You may go through the section in your Grammar Guide. Eg, my family have (AG)(>>has)<br/><br/>Remember to leave a space AFTER a punctuation and never BEFORE it.<br/><br/>Remember to always capitalize the personal pronoun "I".<br/><br/>Please take a look at the other corrections. I am sure you will get it better next time!<br/>Keep up your great effort.	12297	Hi! My name is Kiko.I'm from Anhui. I live in Shanghai.I'm thirty. I can speak Chinese and a little English. So i can tell you my family have four peoples. There're my husband and two dauehters. I can dance and sing.I can  drvie and cook but i can't swim.  Bye! Brigit.	3	1	cn	cn	Meeting people	Replying to a new penpal	By the end of this lesson,  you will be able to write about your nationality,  family and abilities.
26	18435405	Hello,Anna. My name is Cedric. Nice to meet you. I am 30 years old. What is are you doing? What your phone number? Goodbye. Cedric!	2011-03-18 11:00:25.793	92	Dear student, thank you for submitting your work. You did a great job and it was a pleasure grading your work.<br/><br/>Please place the punctuation marks you use directly after a word and then leave a space, see the highlighted(HL) section in your work. <br/><br/>The verb 'was' is an auxiliary verb used with singular nouns that gives grammatical information, for example about tense, which is not given by the main verb of a sentence.<br/><br/>Keep up the good work and do different grammar exercises daily to help you improve. Good luck with your future English studies.<br/><br/>Kind regards, <br/>Janita	10483	Hello,Anna. My name is Cedric. Nice to meet you. I am 30 years old. What is are you doing? What your phone number? Goodbye. Cedric!	1	1	cn	cn	Greetings and introductions	Introducing yourself by email	By the end of this lesson, you will be able to introduce yourself by email.
27	18428207	My name is Irene and I am is a reception.I always talk on the phone.I often write emails.It is boring.When I feel tiring I will take a brek.I love my boss, he is very nice to me.I love my job because I always rewarding.	2011-03-18 10:50:23.787	90	Dear student,<br/>This is a fantastic piece of writing. It was interesting to read.<br/>Your writing is good for this level. You made a few mistakes but if you review my corrections hopefully you can avoid making the same errors again. In particular you should focus on:<br/><br/>1. Make the most of your conversation classes and review any material you are unsure of thoroughly.  <br/><br/>2. Please take care with your punctuation and remember to leave a space AFTER all punctuation (. , ! ? etc). I have corrected the first couple of errors as an example.<br/>Please make a note of my other corrections as well.<br/>Besides these errors you have really done a good job! Keep it up! I hope you enjoy your studies online with Englishtown and do really well!<br/>	5322	My name is Irene and I am <change><selection>is </selection><tag><symbol>D</symbol><correct></correct></tag></change>a <change><selection>reception</selection><tag><symbol>x>>y</symbol><correct>receptionist</correct></tag></change>.<change><selection></selection><tag><symbol>PU</symbol><correct> </correct></tag></change>I always talk on the phone.<change><selection></selection><tag><symbol>PU</symbol><correct> </correct></tag></change>I often write emails.It is boring.When I feel <change><selection>tiring </selection><tag><symbol>WC</symbol><correct>tired</correct></tag></change>I will take a <change><selection>brek</selection><tag><symbol>SP</symbol><correct>break</correct></tag></change>.I love my boss, he is very nice to me.I love my job because I <change><selection></selection><tag><symbol>MW</symbol><correct>am</correct></tag></change>always <change><selection>rewarding</selection><tag><symbol>WC</symbol><correct>rewarded</correct></tag></change>.	4	1	cn	cn	What do you do?	Writing about what you do	By the end of this lesson, you will be able to write about your job.
28	18428548	I work in SUMIDA company,It's a Japanese company,My position is a supervisor of Mechanical Engineering Team.I love my job and enjoy it because it 's exciting and rewarding.But it's difficult too.I work long hours and never take breaks.I always read and write emails,Always talk on the phone.I often have meetings and sometime go on business trips.	2011-03-18 11:01:06.387	90	Dear student, thank you for submitting your work. You did a great job and it was a pleasure grading your work.<br/><br/>Please place the punctuation marks you use directly after a word and then leave a space, see the highlighted(HL) sections in your work. <br/><br/>Proper nouns and the words you use to start your sentences should always be spelled with a capital letter.<br/><br/>When ending a sentence, please indicate so by adding a full stop (.) at the end of that sentence.<br/><br/>Keep up the good work and do different grammar exercises daily to help you improve. Good luck with your future English studies.<br/><br/>Kind regards, <br/>Janita	5322	I work in SUMIDA company,It's a Japanese company,My position is a supervisor of Mechanical Engineering Team.I love my job and enjoy it because it 's exciting and rewarding.But it's difficult too.I work long hours and never take breaks.I always read and write emails,Always talk on the phone.I often have meetings and sometime go on business trips.	4	1	cn	cn	What do you do?	Writing about what you do	By the end of this lesson, you will be able to write about your job.
29	18442553	Hi! How are you? My name's hunter.I'm from china.I live in xi an. I work in suzhou. There are five people in my family :my mother,my father,my sister, my brother and I.My mother's forty-four and my father's forty-five. I like cats .I can cook,sing and driver. I'll speak two languages,chinese and english.  Nice to meet you !   hunter	2011-03-21 11:13:37.030	92	Dear Student, <br/><br/>Thank you for your submission on the subject, "Write an appropriate reply to a new online pen friend." This was well structured and easy to read. Your writing shows promise of good skills, but some areas still need working on. <br/><br/>"hunter(C)(>>Hunter"<br/>Capitalize all proper nouns. A proper noun is the name of a particular person, place or thing. Begin a sentence with a capital letter.<br/><br/>"father's (WC)(>>father is"<br/>Use the noun and verb form and not the possessive form.<br/><br/>Try to read more English books, newspapers or magazines to help familiarise yourself with written English. Well done. All the very best.<br/>  <br/>	9818	Hi! How are you? My name's hunter.I'm from china.I live in xi an. I work in suzhou. There are five people in my family :my mother,my father,my sister, my brother and I.My mother's forty-four and my father's forty-five. I like cats .I can cook,sing and driver. I'll speak two languages,chinese and english.  Nice to meet you !   hunter	3	1	cn	cn	Meeting people	Replying to a new penpal	By the end of this lesson,  you will be able to write about your nationality,  family and abilities.
30	18425744	I work in Nanjing.I am an internet engineer. I love my job,beacause it's exciting. I always work on line with internet. I sometimes write and send emails. I rarely go on business trips and attend reserch meetings.I'm work very tired,but I think it is rewarding. I will work hard in future.	2011-03-21 11:28:36.863	90	Dear Student,<br/><br/>It is great and interesting to know about your job from your writing.<br/><br/>I appreciate your writing. It is well organised  and easy to read.<br/><br/>All proper nouns like the names of people, places, profession, nationality, days, months, etc, need to be capitalized, e.g., "...online with(AR)(>>the) internet(C)(>>Internet). I.."<br/><br/>I have changed this " I'm work (PS)(>>working)very .." because the sentence is in present continuous tense and the verb form for it is "auxiliary verb+ main verb+ ing".<br/><br/>Review my corrections, and keep trying. Good work. Read a variety of materials and keep on writing to improve your language skills. Good luck!<br/> <br/>Regards,<br/>Jennifer	5322	I work in Nanjing.I am an internet engineer. I love my job,beacause it's exciting. I always work on line with internet. I sometimes write and send emails. I rarely go on business trips and attend reserch meetings.I'm work very tired,but I think it is rewarding. I will work hard in future.	4	1	cn	cn	What do you do?	Writing about what you do	By the end of this lesson, you will be able to write about your job.
